iata,city,state,country
00M,Bay Springs,MS,USA
00R,Livingston,TX,USA
00V,Colorado Springs,CO,USA
01G,Perry,NY,USA
01J,Hilliard,FL,USA
01M,Belmont,MS,USA
02A,Clanton,AL,USA
02C,Brookfield,WI,USA
02G,East Liverpool,OH,USA
03D,Memphis,MO,USA
04M,Pittsboro,MS,USA
04Y,Hawley,MN,USA
05C,Griffith,IN,USA
05F,Gatesville,TX,USA
05U,Eureka,NV,USA
06A,Tuskegee,AL,USA
06C,Chicago/Schaumburg,IL,USA
06D,Rolla,ND,USA
06M,Eupora,MS,USA
06N,Middletown,NY,USA
06U,Jackpot,NV,USA
07C,Auburn,IN,USA
07F,Gladewater,TX,USA
07G,Charlotte,MI,USA
07K,Central City,NE,USA
08A,Wetumpka,AL,USA
08D,Stanley,ND,USA
08K,Harvard,NE,USA
08M,Carthage,MS,USA
09A,Butler,AL,USA
09J,Jekyll Island,GA,USA
09K,Sargent,NE,USA
09M,Charleston,MS,USA
09W,Washington,DC,USA
0A3,Smithville,TN,USA
0A8,Centreville,AL,USA
0A9,Elizabethton,TN,USA
0AK,Pilot Station,AK,USA
0B1,Bethel,ME,USA
0B4,Hartington,NE,USA
0B5,Montague,MA,USA
0B7,Warren,VT,USA
0B8,Fishers Island,NY,USA
0C0,Chicago/Harvard,IL,USA
0C4,Pender,NE,USA
0D1,South Haven,MI,USA
0D8,Gettysburg,SD,USA
0E0,Moriarty,NM,USA
0E8,Crownpoint,NM,USA
0F2,Bowie,TX,USA
0F4,Loup City,NE,USA
0F7,Eufaula,OK,USA
0F8,Sand Springs,OK,USA
0F9,Tishomingo,OK,USA
0G0,Lockport,NY,USA
0G3,Tecumseh,NE,USA
0G6,Bryan,OH,USA
0G7,Seneca Falls,NY,USA
0H1,Wakeeney,KS,USA
0I8,Cynthiana,KY,USA
0J0,Abbeville,AL,USA
0J4,Florala,AL,USA
0J6,Headland,AL,USA
0K7,Humboldt,IA,USA
0L5,Goldfield,NV,USA
0L7,Jean,NV,USA
0L9,Overton,NV,USA
0M0,Dumas,AR,USA
0M1,Parsons,TN,USA
0M4,Camden,TN,USA
0M5,Waverly,TN,USA
0M6,Batesville,MS,USA
0M8,Lake Providence,LA,USA
0O3,San Andreas,CA,USA
0O4,Corning,CA,USA
0O5,Davis,CA,USA
0Q5,Shelter Cove,CA,USA
0Q6,Shingletown,CA,USA
0R0,Columbia,MS,USA
0R1,Atmore,AL,USA
0R3,Abbeville,LA,USA
0R4,Vidalia,LA,USA
0R5,Winnfield,LA,USA
0R7,Coushatta,LA,USA
0S7,Oroville,WA,USA
0S9,Port Townsend,WA,USA
0V2,Salida,CO,USA
0V3,Minden,NE,USA
0V4,Brookneal,VA,USA
0V6,Mission,SD,USA
0V7,Kayenta,AZ,USA
10C,Chicago/Greenwood/Wonderlake,IL,USA
10D,Winsted,MN,USA
10G,Millersburg,OH,USA
10N,Wallkill,NY,USA
10U,Owyhee,NV,USA
11A,Clayton,AL,USA
11D,Clarion,PA,USA
11IS,Chicago/Schaumburg,IL,USA
11J,Blakely,GA,USA
11R,Brenham,TX,USA
12C,Rochelle,IL,USA
12D,Tower,MN,USA
12J,Brewton,AL,USA
12K,Superior,NE,USA
12Y,Le Sueur,MN,USA
13C,Lakeview,MI,USA
13K,Eureka,KS,USA
13N,Andover,NJ,USA
14J,Elba,AL,USA
14M,Hollandale,MS,USA
14Y,Long Prairie,MN,USA
15F,Haskell,TX,USA
15J,Adel,GA,USA
15M,Luka,MS,USA
15Z,McCarthy,AK,USA
16A,Nunapitchuk,AK,USA
16G,Tiffin,OH,USA
16J,Dawson,GA,USA
16S,Myrtle Creek,OR,USA
17G,Bucyrus,OH,USA
17J,Donalsonville,GA,USA
17K,Boise City,OK,USA
17M,Magee,MS,USA
17N,Cross Keys,NJ,USA
17Z,Manokotak,AK,USA
18A,Canon,GA,USA
18I,Pine Knot,KY,USA
19A,Jefferson,GA,USA
19M,Lexington,MS,USA
19N,Berlin,NJ,USA
19P,Port Protection,AK,USA
1A3,Copperhill,TN,USA
1A5,Franklin,NC,USA
1A6,Middlesboro,KY,USA
1A7,Gainesboro,TN,USA
1A9,Prattville,AL,USA
1B0,Dexter,ME,USA
1B1,Hudson,NY,USA
1B3,Fair Haven,VT,USA
1B9,Mansfield,MA,USA
1C5,Chicago/Plainfield,IL,USA
1D1,Milbank,SD,USA
1D2,Plymouth,MI,USA
1D3,Platte,SD,USA
1D6,Hector,MN,USA
1D7,Webster,SD,USA
1D8,Redfield,SD,USA
1F0,Ardmore,OK,USA
1F1,Overbrook,OK,USA
1F4,Madill,OK,USA
1F9,Bridgeport,TX,USA
1G0,Bowling Green,OH,USA
1G3,Kent,OH,USA
1G4,Peach Springs,AZ,USA
1G5,Medina,OH,USA
1G6,Cicero,NY,USA
1H0,St Louis,MO,USA
1H2,Effingham,IL,USA
1H3,Linn,MO,USA
1H8,Casey,IL,USA
1I5,Freehold,NY,USA
1I9,Delphi,IN,USA
1J0,Bonifay,FL,USA
1K2,Lindsay,OK,USA
1K4,Goldsby,OK,USA
1K5,Waynoka,OK,USA
1K9,Satanta,KS,USA
1L0,Reserve,LA,USA
1L1,Panaca,NV,USA
1L7,Escalante,UT,USA
1L9,Parowan,UT,USA
1M1,No Lit Rock,AR,USA
1M2,Belzoni,MS,USA
1M4,Haleyville,AL,USA
1M5,Portland,TN,USA
1M7,Fulton,KY,USA
1MO,Mountain Grove,MO,USA
1N2,East Moriches,NY,USA
1N4,Woodbine,NJ,USA
1N7,Blairstown,NJ,USA
1N9,Allentown,PA,USA
1ND3,Kindred,ND,USA
1O1,Grandfield,OK,USA
1O2,Lakeport,CA,USA
1O3,Lodi,CA,USA
1O4,Thomas,OK,USA
1O6,Dunsmuir,CA,USA
1R1,Jena,LA,USA
1R7,Brookhaven,MS,USA
1R8,Bay Minette,AL,USA
1S0,Puyallup,WA,USA
1S3,Forsyth,MT,USA
1S5,Sunnyside,WA,USA
1S6,Priest River,ID,USA
1U7,Paris,ID,USA
1V0,Navajo Dam,NM,USA
1V2,Hyannis,NE,USA
1V5,Boulder,CO,USA
1V6,Canon City,CO,USA
1V9,Delta,CO,USA
20A,Oneonta,AL,USA
20M,Macon,MS,USA
20N,Kingston,NY,USA
20U,Beach,ND,USA
20V,Kremmling,CO,USA
21D,St Paul,MN,USA
21F,Jacksboro,TX,USA
22B,Burlington,CT,USA
22I,McArthur,OH,USA
22M,Pontotoc,MS,USA
22N,Lehighton,PA,USA
23J,Jacksonville,FL,USA
23M,Quitman,MS,USA
23N,Bayport,NY,USA
23R,Devine,TX,USA
24A,Sylva,NC,USA
24J,Live Oak,FL,USA
24N,Dulce,NM,USA
25J,Cuthbert,GA,USA
25M,Ripley,MS,USA
25R,Edinburg,TX,USA
26A,Ashland/Lineville,AL,USA
26N,Ocean City,NJ,USA
26R,Edna/Ganado,TX,USA
26U,McDermitt,OR,USA
27A,Elberton,GA,USA
27D,Canby,MN,USA
27J,Newberry,SC,USA
27K,Georgetown,KY,USA
28J,Palatka,FL,USA
29D,Grove City,PA,USA
29G,Ravenna,OH,USA
29S,Gardiner,MT,USA
2A0,Dayton,TN,USA
2A1,Jamestown,TN,USA
2A3,Larsen Bay,AK,USA
2A9,Kotlik,AK,USA
2AK,Lime Village,AK,USA
2B3,Newport,NH,USA
2B7,Pittsfield,ME,USA
2B9,Post Mills,VT,USA
2D1,Alliance,OH,USA
2D5,Oakes,ND,USA
2F5,Lamesa,TX,USA
2F6,Skiatook,OK,USA
2F7,Commerce,TX,USA
2F8,Bastrop,LA,USA
2G2,Steubenville,OH,USA
2G3,Connellsville,PA,USA
2G4,Oakland,MD,USA
2G9,Somerset,PA,USA
2H0,Shelbyville,IL,USA
2H2,Aurora,MO,USA
2I0,Madisonville,KY,USA
2I5,Rantoul,IL,USA
2IS,Clewiston,FL,USA
2J2,Hinesville,GA,USA
2J3,Louisville,GA,USA
2J5,Millen,GA,USA
2J9,Quincy,FL,USA
2K3,Johnson,KS,USA
2K4,Mangum,OK,USA
2K5,Telida,AK,USA
2M0,Princeton,KY,USA
2M2,Lawrenceburg,TN,USA
2M3,Sallisaw,OK,USA
2M4,Forest,MS,USA
2M8,Millington,TN,USA
2O1,Quincy,CA,USA
2O3,Angwin,CA,USA
2O6,Chowchilla,CA,USA
2O7,Independence,CA,USA
2O8,Hinton,OK,USA
2P2,Washington Island,WI,USA
2Q3,Davis/Woodland/Winters,CA,USA
2R0,Waynesboro,MS,USA
2R4,Milton,FL,USA
2R5,St Elmo,AL,USA
2R9,Kenedy,TX,USA
2S1,Vashon,WA,USA
2S6,Newberg,OR,USA
2S7,Chiloquin,OR,USA
2S8,Wilbur,WA,USA
2T1,Muleshoe,TX,USA
2V1,Pagosa Springs,CO,USA
2V2,Longmont,CO,USA
2V5,Wray,CO,USA
2V6,Yuma,CO,USA
2W5,Indian Head,MD,USA
2W6,Leonardtown,MD,USA
2Y3,Yakutat,AK,USA
2Y4,Rockwell City,IA,USA
31F,Seminole,TX,USA
32M,Norfolk,MA,USA
32S,Stevensville,MT,USA
33J,Geneva,AL,USA
33M,Water Valley,MS,USA
33N,Dover,DE,USA
33S,Ritzville,WA,USA
34A,Laurens,SC,USA
35A,Union,SC,USA
35D,Allegan,MI,USA
35S,Wasco,OR,USA
36K,Lakin,KS,USA
36S,Happy Camp,CA,USA
36U,Heber,UT,USA
37T,Calico Rock,AR,USA
37W,Erwin,NC,USA
38A,Shaktoolik,AK,USA
38S,Deer Lodge,MT,USA
38U,Loa,UT,USA
39N,Princeton,NJ,USA
3A0,Grove Hill,AL,USA
3A1,Cullman,AL,USA
3A2,Tazewell,TN,USA
3A3,Wadesboro,NC,USA
3AU,Augusta,KS,USA
3B0,Southbridge,MA,USA
3B1,Greenville,ME,USA
3B2,Marshfield,MA,USA
3B9,Chester,CT,USA
3BS,Midland,MI,USA
3CK,Lake In The Hills,IL,USA
3CM,Bay City,MI,USA
3CU,Cable,WI,USA
3D2,Ephraim,WI,USA
3D4,Frankfort,MI,USA
3F3,Mansfield,LA,USA
3F4,Vivian,LA,USA
3F7,Bristow,OK,USA
3FM,Fremont,MI,USA
3FU,Faulkton,SD,USA
3G3,Wadsworth,OH,USA
3G4,Ashland,OH,USA
3G7,Williamson,NY,USA
3GM,Grand Haven,MI,USA
3I2,Point Pleasant,WV,USA
3I7,Phillipsburg,OH,USA
3J1,Ridgeland,SC,USA
3J7,Greensboro,GA,USA
3JC,Junction City,KS,USA
3K3,Syracuse,KS,USA
3K6,Troy/Marine/St. Louis,IL,USA
3K7,Leoti,KS,USA
3LC,Lincoln,IL,USA
3LF,Litchfield,IL,USA
3M7,Lafayette,TN,USA
3M8,Reform,AL,USA
3M9,Warren,AR,USA
3MY,Peoria,IL,USA
3N6,Old Bridge,NJ,USA
3N8,Mahnomen,MN,USA
3ND0,Northwood,ND,USA
3O1,Gustine,CA,USA
3O3,Purcell,OK,USA
3O4,Sayre,OK,USA
3O5,Walters,OK,USA
3O7,Hollister,CA,USA
3O9,Afton,OK,USA
3R0,Beeville,TX,USA
3R1,Bay City,TX,USA
3R2,Crowley,LA,USA
3R4,Many,LA,USA
3R7,Jennings,LA,USA
3S4,Illinois Valley (Cave Junction),OR,USA
3S8,Grants Pass,OR,USA
3S9,Condon,OR,USA
3SG,Saginaw - H.Browne,MI,USA
3SQ,St Charles,MO,USA
3T3,Boyceville,WI,USA
3T5,La Grange,TX,USA
3TR,Niles,MI,USA
3U3,Anaconda,MT,USA
3U7,Benchmark,MT,USA
3U8,Big Sandy,MT,USA
3V4,Fort Morgan,CO,USA
3WO,Shawano,WI,USA
3Y2,West Union,IA,USA
3Y3,Winterset,IA,USA
3Z9,Haines,AK,USA
40J,Perry,FL,USA
40N,Coatesville,PA,USA
40U,Manila,UT,USA
41U,Manti,UT,USA
42A,Melbourne,AR,USA
42C,White Cloud,MI,USA
42J,Keystone Heights,FL,USA
42S,Poplar,MT,USA
43A,Star,NC,USA
44B,Dover-Foxcroft,ME,USA
44N,Millbrook,NY,USA
45J,Rockingham,NC,USA
45OH,North Bass Island,OH,USA
45R,Kountze/Silsbee,TX,USA
46A,Blairsville,GA,USA
46D,Carrington,ND,USA
46N,Red Hook,NY,USA
47A,Canton,GA,USA
47J,Cheraw,SC,USA
47N,Manville,NJ,USA
47V,Curtis,NE,USA
48A,Cochran,GA,USA
48D,Clare,MI,USA
48I,Sutton,WV,USA
48K,Ness City,KS,USA
48S,Harlem,MT,USA
48V,Erie,CO,USA
49A,Ellijay,GA,USA
49T,Dallas,TX,USA
49X,Chemehuevi Valley,CA,USA
49Y,Preston,MN,USA
4A2,Atmautluak,AK,USA
4A4,Cedartown,GA,USA
4A5,Marshall,AR,USA
4A6,Scottsboro,AL,USA
4A7,Hampton,GA,USA
4A9,Fort Payne,AL,USA
4B0,South Bethlehem,NY,USA
4B1,Duanesburg,NY,USA
4B6,Ticonderoga,NY,USA
4B7,Schroon Lake,NY,USA
4B8,Plainville,CT,USA
4B9,Simsbury,CT,USA
4C8,Albia,IA,USA
4D0,Grandledge,MI,USA
4D9,Alma,NE,USA
4F2,Carthage,TX,USA
4F4,Gilmer,TX,USA
4G1,Greenville,PA,USA
4G2,Hamburg,NY,USA
4G5,Woodsfield,OH,USA
4G6,Hornell,NY,USA
4G7,Fairmont,WV,USA
4I0,Williamson,WV,USA
4I3,Mount Vernon,OH,USA
4I7,Greencastle,IN,USA
4I9,Mt. Gilead,OH,USA
4J1,Nahunta,GA,USA
4J2,Nashville,GA,USA
4J5,Quitman,GA,USA
4J6,St Marys,GA,USA
4K0,Pedro Bay,AK,USA
4K5,Ouzinkie,AK,USA
4K6,Bloomfield,IA,USA
4KA,Tununak,AK,USA
4M1,Berryville,AR,USA
4M3,Carlisle,AR,USA
4M4,Clinton,AR,USA
4M7,Russellville,KY,USA
4M8,Clarendon,AR,USA
4M9,Corning,AR,USA
4N1,West Milford,NJ,USA
4O3,Blackwell-Tonkawa,OK,USA
4O4,Idabel,OK,USA
4O5,Cherokee,OK,USA
4PH,Polacca,AZ,USA
4R1,Lumberton,MS,USA
4R3,Jackson,AL,USA
4R4,Fairhope,AL,USA
4R5,La Pointe,WI,USA
4R7,Eunice,LA,USA
4R9,Dauphin Island,AL,USA
4S1,Gold Beach,OR,USA
4S2,Hood River,OR,USA
4S3,Joseph,OR,USA
4S9,Mulino (Portland),OR,USA
4SD,Reno,NV,USA
4T6,Midlothian-Waxahachie,TX,USA
4U3,Chester,MT,USA
4U6,Circle,MT,USA
4V0,Rangely,CO,USA
4V1,Walsenburg,CO,USA
4V9,Neligh,NE,USA
4W1,Elizabethtown,NC,USA
4Z4,Holy Cross,AK,USA
4Z7,Hyder,AK,USA
50I,Kentland,IN,USA
50J,Moncks Corner,SC,USA
50K,Pawnee City,NE,USA
50R,Lockhart,TX,USA
51D,Edgeley,ND,USA
51Z,Minto,AK,USA
52A,Madison,GA,USA
52E,Timberon,NM,USA
52J,Bishopville,SC,USA
53A,Montezuma,GA,USA
53K,Osage City,KS,USA
54J,Defuniak Springs,FL,USA
55D,Grayling,MI,USA
55J,Fernandina Beach,FL,USA
55S,Packwood,WA,USA
56D,Upper Sandusky,OH,USA
56M,Warsaw,MO,USA
56S,Seaside,OR,USA
57B,Islesboro,ME,USA
57C,East Troy,WI,USA
59B,Jackman,ME,USA
5A4,Okolona,MS,USA
5A6,Winona,MS,USA
5A8,Aleknagik,AK,USA
5A9,Warm Springs,GA,USA
5B2,Saratoga Springs,NY,USA
5B3,Danielson,CT,USA
5B7,Troy,NY,USA
5CD,Chandalar Camp,AK,USA
5D3,Owosso,MI,USA
5F1,Post,TX,USA
5F4,Homer,LA,USA
5G0,Le Roy,NY,USA
5G7,Bluffton,OH,USA
5G8,Jeanette,PA,USA
5G9,Lambertville,MI,USA
5HO,Hope,AK,USA
5I4,Sheridan,IN,USA
5J0,John Day,OR,USA
5J9,Loris,SC,USA
5K2,Tribune,KS,USA
5M0,Hartselle,AL,USA
5M1,De Witt,AR,USA
5M4,Fordyce,AR,USA
5M9,Marion,KY,USA
5N8,Casselton,ND,USA
5ND6,Hillsboro,ND,USA
5NI,Nikolai,AK,USA
5NK,Naknek,AK,USA
5NN,Nondalton,AK,USA
5R3,Lago Vista,TX,USA
5R4,Foley,AL,USA
5R5,Wharton,TX,USA
5R8,De Quincy,LA,USA
5S8,St. Michael,AK,USA
5T5,Hillsboro,TX,USA
5T6,Santa Teresa,NM,USA
5T9,Eagle Pass,TX,USA
5TE,Tetlin,AK,USA
5U3,Ennis,MT,USA
5U8,Geraldine,MT,USA
5V5,Shiprock,NM,USA
5V8,Kadoka,SD,USA
5W8,Siler City,NC,USA
5Z1,Juneau,AK,USA
5Z5,Kantishna,AK,USA
60F,Seymour,TX,USA
60J,Ocean Isle Beach,NC,USA
61A,Camden,AL,USA
61B,Boulder City,NV,USA
61C,Fort Atkinson,WI,USA
61J,Portland,OR,USA
61S,Cottage Grove,OR,USA
62D,Warren,OH,USA
62H,Giddings,TX,USA
62S,Christmas Valley,OR,USA
63A,Petersburg,AK,USA
63C,Adams/Friendship,WI,USA
63S,Colville,WA,USA
65J,Wrens,GA,USA
65S,Bonners Ferry,ID,USA
66D,Sturgis,SD,USA
67L,Mesquite,NV,USA
68A,Wrangell,AK,USA
68S,Davenport,WA,USA
6A1,Butler,GA,USA
6A2,Griffin,GA,USA
6A3,Andrews,NC,USA
6A4,Mountain City,TN,USA
6A8,Allakaket,AK,USA
6B0,Middlebury,VT,USA
6B4,Utica/Frankfort,NY,USA
6B6,Stow,MA,USA
6B8,Lyndonville,VT,USA
6B9,Skaneateles,NY,USA
6D6,Greenville,MI,USA
6D8,Valley City,ND,USA
6F1,Talihina,OK,USA
6G1,Titusville,PA,USA
6G5,Barnesville,OH,USA
6I2,Springfield,KY,USA
6J0,Pelion,SC,USA
6J2,St George,SC,USA
6J4,Saluda,SC,USA
6K3,Creighton,NE,USA
6K4,Fairview,OK,USA
6K8,Tok,AK,USA
6L4,Logan,WV,USA
6M2,Horseshoe Bend,AR,USA
6M6,Monticello,MO,USA
6M7,Marianna,AR,USA
6M8,Marked Tree,AR,USA
6N5,New York,NY,USA
6N7,New York,NY,USA
6N8,Thedford,NE,USA
6R3,Cleveland,TX,USA
6R7,Old Harbor,AK,USA
6R9,Llano,TX,USA
6S0,Big Timber,MT,USA
6S2,Florence,OR,USA
6S3,Columbus,MT,USA
6S5,Hamilton,MT,USA
6S8,Laurel,MT,USA
6V0,Edgemont,SD,USA
6V3,Richlands,VA,USA
6V4,Wall,SD,USA
6V6,Nucla,CO,USA
70J,Cairo,GA,USA
71J,Ozark,AL,USA
72S,Rosalia,WA,USA
73C,Lancaster,WI,USA
73J,Beaufort,SC,USA
74D,Moundsville,WV,USA
74S,Anacortes,WA,USA
74V,Roosevelt,UT,USA
75J,Ashburn,GA,USA
76G,Marine City,MI,USA
77G,Marlette,MI,USA
77S,Creswell,OR,USA
78D,Caro,MI,USA
79D,Philippi,WV,USA
79J,Andalusia,AL,USA
79S,Fort Benton,MT,USA
7A0,Greensboro,AL,USA
7A2,Demopolis,AL,USA
7A3,Lanett,AL,USA
7A5,Roanoke,AL,USA
7A8,Spruce Pine,NC,USA
7B2,Northampton,MA,USA
7D2,Troy,MI,USA
7F3,Caddo Mills,TX,USA
7F6,Clarksville,TX,USA
7F7,Clifton,TX,USA
7F9,Comanche,TX,USA
7G0,Brockport,NY,USA
7G8,Middlefield,OH,USA
7I7,Bellefontaine,OH,USA
7K0,Pikeville,KY,USA
7K2,Skagway,AK,USA
7K4,Hartford,KY,USA
7K8,South Sioux City,NE,USA
7KA,Tatitlek,AK,USA
7M1,McGehee,AR,USA
7M3,Mount Ida,AR,USA
7M4,Osceola,AR,USA
7M5,Ozark,AR,USA
7M7,Piggott,AR,USA
7N0,New Orleans,LA,USA
7N1,Corning,NY,USA
7N7,Pedrictown,NJ,USA
7S0,Ronan,MT,USA
7S1,Twin Bridges,MT,USA
7S5,Independence,OR,USA
7S6,White Sulphur Springs,MT,USA
7S7,Valier,MT,USA
7V1,Buena Vista,CO,USA
7V7,Red Cloud,NE,USA
7W6,Englehard,NC,USA
80F,Antlers,OK,USA
81B,Norway,ME,USA
82C,New Lisbon,WI,USA
82V,Pine Bluffs,WY,USA
83D,St Ignace,MI,USA
84D,Eagle Butte,SD,USA
84K,Meyers Chuck,AK,USA
84R,Smithville,TX,USA
85V,Ganado,AZ,USA
86F,Carnegie,OK,USA
87I,Yazoo City,MS,USA
87Y,Madison,WI,USA
88C,Palmyra,WI,USA
88J,Allendale,SC,USA
88M,Eureka,MT,USA
89D,Kelleys Island,OH,USA
8A0,Albertville,AL,USA
8A1,Guntersville,AL,USA
8A3,Livingston,TN,USA
8B0,Rangeley,ME,USA
8D1,New Holstein,WI,USA
8D3,Sisseton,SD,USA
8D4,Sparta,MI,USA
8D7,Clark,SD,USA
8D9,Howard,SD,USA
8F7,Decatur,TX,USA
8G2,Corry,PA,USA
8G6,Cadiz,OH,USA
8G7,Zelienople,PA,USA
8K8,Cimarron,KS,USA
8K9,Ketchikan,AK,USA
8M1,Booneville,MS,USA
8S1,Polson,MT,USA
8S2,Cashmere,WA,USA
8S5,Mt Pleasant,SC,USA
8U6,Terry,MT,USA
8U8,Townsend,MT,USA
8V2,Atkinson,NE,USA
8Y2,Buffalo,MN,USA
91C,Prairie Du Sac,WI,USA
91F,Canadian,OK,USA
93B,Stonington,ME,USA
93C,Richland Center,WI,USA
93F,Cheyenne,OK,USA
93Y,David City,NE,USA
94K,Cassville,MO,USA
95F,Cleveland,OK,USA
96D,Walhalla,ND,USA
96Z,North Whale Pass,AK,USA
97M,Ekalaka,MT,USA
98D,Onida,SD,USA
99N,Bamburg,SC,USA
99Y,Greeley,NE,USA
9A1,Covington,GA,USA
9A3,Chuathbaluk,AK,USA
9A4,Courtland,AL,USA
9A5,LaFayette,GA,USA
9A6,Chester,SC,USA
9A8,Ugashik,AK,USA
9C8,Evart,MI,USA
9D0,Highmore,SD,USA
9D1,Gregory,SD,USA
9D2,Buffalo,SD,USA
9D7,Cando,ND,USA
9D9,Hastings,MI,USA
9G0,Buffalo,NY,USA
9G1,Tarentum,PA,USA
9G3,Akron,NY,USA
9G5,Gasport,NY,USA
9G8,Ebensburg,PA,USA
9I0,Havana,IL,USA
9I3,West Liberty,KY,USA
9K2,Kokhanok,AK,USA
9K4,Warrensburg,MO,USA
9K7,Ellsworth,KS,USA
9K8,Kingman,KS,USA
9M4,Ackerman,MS,USA
9M6,Oak Grove,LA,USA
9M8,Sheridan,AR,USA
9S2,Scobey,MT,USA
9S4,Superior,MT,USA
9S5,Three Forks,MT,USA
9S7,Winifred,MT,USA
9S9,Lexington,OR,USA
9U0,Turner,MT,USA
9U3,Austin,NV,USA
9U4,Dixon,WY,USA
9V5,Rushville,NE,USA
9V6,Martin,SD,USA
9V9,Chamberlain,SD,USA
9W7,Currituck,NC,USA
A04,Centre,AL,USA
A14,Portage Creek,AK,USA
A29,Sitka,AK,USA
A30,Fort Jones,CA,USA
A32,Dorris,CA,USA
A61,Tuntutuliak,AK,USA
A63,Twin Hills,AK,USA
A79,Chignik Lake,AK,USA
A85,Kwigillingok,AK,USA
AAF,Apalachicola,FL,USA
AAO,Wichita,KS,USA
AAS,Cambellsville,KY,USA
AAT,Alturas,CA,USA
ABE,Allentown,PA,USA
ABI,Abilene,TX,USA
ABO,Arecibo,PR,USA
ABQ,Albuquerque,NM,USA
ABR,Aberdeen,SD,USA
ABY,Albany,GA,USA
ACB,Bellaire,MI,USA
ACJ,Americus,GA,USA
ACK,Nantucket,MA,USA
ACQ,Waseca,MN,USA
ACT,Waco,TX,USA
ACV,Arcata/Eureka,CA,USA
ACY,Atlantic City,NJ,USA
ACZ,Wallace,NC,USA
ADC,Wadena,MN,USA
ADG,Adrian,MI,USA
ADH,Ada,OK,USA
ADK,Adak,AK,USA
ADM,Ardmore,OK,USA
ADQ,Kodiak,AK,USA
ADS,Dallas/Addison,TX,USA
ADT,Atwood,KS,USA
ADU,Audubon,IA,USA
AEG,Albuquerque,NM,USA
AEL,Albert Lea,MN,USA
AEX,Alexandria,LA,USA
AFE,Kake,AK,USA
AFJ,Washington,PA,USA
AFK,Nebraska City,NE,USA
AFM,Ambler,AK,USA
AFN,Jaffrey,NH,USA
AFO,Afton,WY,USA
AFW,Fort Worth,TX,USA
AGC,Pittsburgh,PA,USA
AGN,Angoon,AK,USA
AGO,Magnolia,AR,USA
AGS,Augusta,GA,USA
AGZ,Wagner,SD,USA
AHH,Amery,WI,USA
AHN,Athens,GA,USA
AHP,Port Alexander,AK,USA
AHQ,Wahoo,NE,USA
AIA,Alliance,NE,USA
AID,Anderson,IN,USA
AIG,Antigo,WI,USA
AIK,Aiken,SC,USA
AIO,Atlantic,IA,USA
AIT,Aitkin,MN,USA
AIV,Aliceville,AL,USA
AIY,Atlantic City,NJ,USA
AIZ,Kaiser/Lake Ozark,MO,USA
AJC,Chignik,AK,USA
AJG,Mt Carmel,IL,USA
AJO,Corona,CA,USA
AJR,Cornelia,GA,USA
AK5,Perryville,AK,USA
AKA,Atka,AK,USA
AKH,Gastonia,NC,USA
AKI,Akiak,AK,USA
AKK,Akhiok,AK,USA
AKN,King Salmon,AK,USA
AKO,Akron,CO,USA
AKP,Anaktuvuk Pass,AK,USA
AKR,Akron,OH,USA
AKW,Klawock,AK,USA
AL08,Marion,AL,USA
ALB,Albany,NY,USA
ALI,Alice,TX,USA
ALM,Alamogordo,NM,USA
ALN,Alton/St. Louis,IL,USA
ALO,Waterloo,IA,USA
ALS,Alamosa,CO,USA
ALW,Walla Walla,WA,USA
ALX,Alexander City,AL,USA
AMA,Amarillo,TX,USA
AMG,Alma,GA,USA
AMN,Alma,MI,USA
AMT,West Union,OH,USA
AMW,Ames,IA,USA
ANB,Anniston,AL,USA
ANC,Anchorage,AK,USA
AND,Anderson,SC,USA
ANE,Minneapolis,MN,USA
ANI,Aniak,AK,USA
ANQ,Angola,IN,USA
ANV,Anvik,AK,USA
ANW,Ainsworth,NE,USA
ANY,Anthony,KS,USA
