iata,city,state,country
AOC,Arco,ID,USA
AOH,Lima,OH,USA
AOO,Altoona,PA,USA
APA,Denver,CO,USA
APC,Napa,CA,USA
APF,Naples,FL,USA
APN,Alpena,MI,USA
APT,Jasper,TN,USA
APV,Apple Valley,CA,USA
AQC,Klawock,AK,USA
AQH,Quinhagak,AK,USA
AQT,Nuiqsut,AK,USA
AQW,North Adams,MA,USA
AQY,Girdwood,AK,USA
ARA,New Iberia,LA,USA
ARB,Ann Arbor,MI,USA
ARC,Arctic Village,AK,USA
ARG,Walnut Ridge,AR,USA
ARR,Chicago/Aurora,IL,USA
ART,Watertown,NY,USA
ARV,Minocqua-Woodruff,WI,USA
ASD,Slidell,LA,USA
ASE,Aspen,CO,USA
ASG,Springdale,AR,USA
ASH,Nashua,NH,USA
ASJ,Ahoskie,NC,USA
ASL,Marshall,TX,USA
ASN,Talladega,AL,USA
AST,Astoria,OR,USA
ASW,Warsaw,IN,USA
ASX,Ashland,WI,USA
ATA,Atlanta,TX,USA
ATK,Atqasuk,AK,USA
ATL,Atlanta,GA,USA
ATS,Artesia,NM,USA
ATW,Appleton,WI,USA
ATY,Watertown,SD,USA
AUG,Augusta,ME,USA
AUH,Aurora,NE,USA
AUK,Alakanuk,AK,USA
AUM,Austin,MN,USA
AUN,Auburn,CA,USA
AUO,Auburn,AL,USA
AUS,Austin,TX,USA
AUW,Wausau,WI,USA
AVC,South Hill,VA,USA
AVK,Alva,OK,USA
AVL,Asheville,NC,USA
AVO,Avon Park,FL,USA
AVP,Wilkes-Barre/Scranton,PA,USA
AVQ,Marana,AZ,USA
AVX,Avalon,CA,USA
AWG,Washington,IA,USA
AWI,Wainwright,AK,USA
AWM,West Memphis,AR,USA
AWO,Arlington,WA,USA
AXA,Algona,IA,USA
AXN,Alexandria,MN,USA
AXS,Altus,OK,USA
AXV,Wapakoneta,OH,USA
AXX,Angel Fire,NM,USA
AYS,Waycross,GA,USA
AZC,Colorado City,AZ,USA
AZE,Hazelhurst,GA,USA
AZO,Kalamazoo,MI,USA
B01,Granville,NY,USA
B08,Silver Springs,NV,USA
B16,Weedsport,NY,USA
B19,Biddeford,ME,USA
B21,Carrabasset,ME,USA
BAF,Westfield,MA,USA
BAK,Columbus,IN,USA
BAM,Battle Mountain,NV,USA
BAX,Bad Axe,MI,USA
BAZ,New Braunfels,TX,USA
BBB,Benson,MN,USA
BBD,Brady,TX,USA
BBP,Bennettsville,SC,USA
BBW,Broken Bow,NE,USA
BCB,Blacksburg,VA,USA
BCE,Bryce Canyon,UT,USA
BCK,Black River Falls,WI,USA
BCT,Boca Raton,FL,USA
BCV,Birchwood,AK,USA
BDE,Baudette,MN,USA
BDG,Blanding,UT,USA
BDL,Windsor Locks,CT,USA
BDQ,Morrilton,AR,USA
BDR,Bridgeport,CT,USA
BDX,Broadus,MT,USA
BED,Bedford,MA,USA
BEH,Benton Harbor,MI,USA
BET,Bethel,AK,USA
BFD,Bradford,PA,USA
BFF,Scottsbluff,NE,USA
BFI,Seattle,WA,USA
BFK,Buffalo,OK,USA
BFL,Bakersfield,CA,USA
BFM,Mobile,AL,USA
BFR,Bedford,IN,USA
BFW,Silver Bay,MN,USA
BGD,Borger,TX,USA
BGE,Bainbridge,GA,USA
BGF,Winchester,TN,USA
BGM,Binghamton,NY,USA
BGQ,Big Lake,AK,USA
BGR,Bangor,ME,USA
BHB,Bar Harbor,ME,USA
BHC,Baxley,GA,USA
BHK,Baker City,MT,USA
BHM,Birmingham,AL,USA
BID,Block Island,RI,USA
BIE,Beatrice,NE,USA
BIG,Delta Junction,AK,USA
BIH,Bishop,CA,USA
BIL,Billings,MT,USA
BIS,Bismarck,ND,USA
BIV,Holland,MI,USA
BJC,Denver,CO,USA
BJI,Bemidji,MN,USA
BJJ,Wooster,OH,USA
BKD,Breckenridge,TX,USA
BKE,Baker City,OR,USA
BKL,Cleveland,OH,USA
BKV,Brooksville,FL,USA
BKW,Beckley,WV,USA
BKX,Brookings,SD,USA
BLF,Bluefield,WV,USA
BLH,Blythe,CA,USA
BLI,Bellingham,WA,USA
BLM,Belmar/Farmingdale,NJ,USA
BLV,Belleville/St. Louis,IL,USA
BMC,Brigham City,UT,USA
BMG,Bloomington,IN,USA
BMI,Bloomington,IL,USA
BML,Berlin,NH,USA
BMQ,Burnet,TX,USA
BMT,Beaumont,TX,USA
BNA,Nashville,TN,USA
BNF,Baranof Warm Springs,AK,USA
BNG,Banning,CA,USA
BNL,Barnwell,SC,USA
BNO,Burns,OR,USA
BNW,Boone,IA,USA
BOI,Boise,ID,USA
BOK,Brookings,OR,USA
BOS,Boston,MA,USA
BOW,Bartow,FL,USA
BPI,Big Piney,WY,USA
BPK,Mountain Home,AR,USA
BPT,Beaumont/Port Arthur,TX,USA
BQK,Brunswick,GA,USA
BQN,Aguadilla,PR,USA
BRD,Brainerd,MN,USA
BRL,Burlington,IA,USA
BRO,Brownsville,TX,USA
BRW,Barrow,AK,USA
BRY,Bardstown,KY,USA
BST,Belfast,ME,USA
BTI,Kaktovik,AK,USA
BTL,Battle Creek,MI,USA
BTM,Butte,MT,USA
BTN,Britton,SD,USA
BTP,Butler,PA,USA
BTR,Baton Rouge,LA,USA
BTT,Bettles,AK,USA
BTV,Burlington,VT,USA
BTY,Beatty,NV,USA
BUB,Burwell,NE,USA
BUF,Buffalo,NY,USA
BUM,Butler,MO,USA
BUR,Burbank,CA,USA
BUY,Burlington,NC,USA
BVI,Beaver Falls,PA,USA
BVK,Buckland,AK,USA
BVN,Albion,NE,USA
BVO,Bartlesville,OK,USA
BVS,Burlington/Mount Vernon,WA,USA
BVX,Batesville,AR,USA
BVY,Beverly,MA,USA
BWC,Brawley,CA,USA
BWD,Brownwood,TX,USA
BWG,Bowling Green,KY,USA
BWI,Baltimore,MD,USA
BWP,Wahpeton,ND,USA
BXA,Bogalusa,LA,USA
BXG,Waynesboro,GA,USA
BXK,Buckeye,AZ,USA
BYA,Boundary,AK,USA
BYG,Buffalo,WY,USA
BYI,Burley,ID,USA
BZN,Bozeman,MT,USA
C00,Aledo,IL,USA
C05,Chenega,AK,USA
C09,Morris,IL,USA
C15,Pekin,IL,USA
C17,Marion,IA,USA
C18,Chicago/Frankfort,IL,USA
C25,Waverly,IA,USA
C29,Middleton,WI,USA
C34,Gibson City,IL,USA
C35,Reedsburg,WI,USA
C47,Portage,WI,USA
C52,Burlington,WI,USA
C56,Chicago/Monee,IL,USA
C62,Kendallville,IN,USA
C65,Plymouth,IN,USA
C66,Monmouth,IL,USA
C71,Crosby,MS,USA
C73,Dixon,IL,USA
C75,Lacon,IL,USA
C77,Poplar Grove,IL,USA
C80,Coalinga,CA,USA
C81,Chicago/Round Lake Park,IL,USA
C83,Byron,CA,USA
C91,Dowagiac,MI,USA
CAD,Cadillac,MI,USA
CAE,Columbia,SC,USA
CAG,Craig,CO,USA
CAK,Akron,OH,USA
CAO,Clayton,NM,USA
CAR,Caribou,ME,USA
CAV,Clarion,IA,USA
CBE,Cumberland,MD,USA
CBF,Council Bluffs,IA,USA
CBG,Cambridge,MN,USA
CBK,Colby,KS,USA
CCB,Upland,CA,USA
CCO,Newnan,GA,USA
CCR,Concord,CA,USA
CCY,Charles City,IA,USA
CDB,Cold Bay,AK,USA
CDC,Cedar City,UT,USA
CDH,Camden,AR,USA
CDI,Cambridge,OH,USA
CDK,Cedar Key,FL,USA
CDN,Camden,SC,USA
CDR,Chadron,NE,USA
CDV,Cordova,AK,USA
CDW,Caldwell,NJ,USA
CEC,Crescent City,CA,USA
CEF,Chicopee,MA,USA
CEK,Crete,NE,USA
CEM,Central,AK,USA
CEU,Clemson,SC,USA
CEV,Connersville,IN,USA
CEW,Crestview,FL,USA
CEY,Murray,KY,USA
CEZ,Cortez,CO,USA
CFD,Bryan,TX,USA
CFJ,Crawfordsville,IN,USA
CFK,Chefornak,AK,USA
CFT,Clifton-Morenci,AZ,USA
CFV,Coffeyville,KS,USA
CGA,Craig,AK,USA
CGC,Crystal River,FL,USA
CGE,Cambridge,MD,USA
CGF,Cleveland,OH,USA
CGI,Cape Girardeau,MO,USA
CGS,College Park,MD,USA
CGX,Chicago,IL,USA
CGZ,Casa Grande,AZ,USA
CHA,Chattanooga,TN,USA
CHD,Chandler,AZ,USA
CHK,Chickasha,OK,USA
CHO,Charlottesville,VA,USA
CHP,Circle Hot Springs,AK,USA
CHS,Charleston,SC,USA
CHT,Chillicothe,MO,USA
CHU,Caledonia,MN,USA
CIC,Chico,CA,USA
CID,Cedar Rapids,IA,USA
CII,Choteau,MT,USA
CIK,Chalkyitsik,AK,USA
CIN,Carroll,IA,USA
CIR,Cairo,IL,USA
CIU,Sault Ste. Marie,MI,USA
CJR,Culpeper,VA,USA
CJX,Crooked Creek,AK,USA
CKB,Clarksburg,WV,USA
CKC,Grand Marais,MN,USA
CKF,Cordele,GA,USA
CKI,Kingstree,SC,USA
CKM,Clarksdale,MS,USA
CKN,Crookston,MN,USA
CKP,Cherokee,IA,USA
CKU,Cordova,AK,USA
CKV,Clarksville,TN,USA
CKX,Chicken,AK,USA
CLD,NA,NA,USA
CLE,Cleveland,OH,USA
CLI,Clintonville,WI,USA
CLK,Clinton,OK,USA
CLL,College Station,TX,USA
CLM,Port Angeles,WA,USA
CLP,Clarks Point,AK,USA
CLS,Chehalis,WA,USA
CLT,Charlotte,NC,USA
CLW,Clearwater,FL,USA
CMA,Camarillo,CA,USA
CMH,Columbus,OH,USA
CMI,Champaign/Urbana,IL,USA
CMX,Hancock,MI,USA
CMY,Sparta,WI,USA
CNC,Chariton,IA,USA
CNH,Claremont,NH,USA
CNK,Concordia,KS,USA
CNM,Carlsbad,NM,USA
CNO,Chino,CA,USA
CNP,Chappell,NE,USA
CNU,Chanute,KS,USA
CNW,Waco,TX,USA
CNY,Moab,UT,USA
COD,Cody,WY,USA
COE,Coeur D'Alene,ID,USA
COI,Merritt Island,FL,USA
COM,Coleman,TX,USA
CON,Concord,NH,USA
COQ,Cloquet,MN,USA
COS,Colorado Springs,CO,USA
COT,Cotulla,TX,USA
COU,Columbia,MO,USA
CPC,Whiteville,NC,USA
CPK,Norfolk,VA,USA
CPM,Compton,CA,USA
CPR,Casper,WY,USA
CPS,Cahokia/St. Louis,IL,USA
CPX,Isla De Culebra,PR,USA
CQA,Celina,OH,USA
CQB,Chandler,OK,USA
CQX,Chatham,MA,USA
CRC,Circle,AK,USA
CRE,North Myrtle Beach,SC,USA
CRG,Jacksonville,FL,USA
CRO,Corcoran,CA,USA
CRP,Corpus Christi,TX,USA
CRQ,Carlsbad,CA,USA
CRS,Corsicana,TX,USA
CRT,Crossett,AR,USA
CRW,Charleston,WV,USA
CRX,Corinth,MS,USA
CSB,Cambridge,NE,USA
CSG,Columbus,GA,USA
CSM,Clinton,OK,USA
CSQ,Creston,IA,USA
CSV,Crossville,TN,USA
CTB,Cut Bank,MT,USA
CTJ,Carrollton,GA,USA
CTK,Canton,IL,USA
CTY,Cross City,FL,USA
CTZ,Clinton,NC,USA
CUB,Columbia,SC,USA
CUH,Cushing,OK,USA
CUL,Carmi,IL,USA
CUT,Custer,SD,USA
CVG,Covington,KY,USA
CVK,Ash Flat,AR,USA
CVN,Clovis,NM,USA
CVO,Corvallis,OR,USA
CVX,Charlevoix,MI,USA
CWA,Mosinee,WI,USA
CWF,Lake Charles,LA,USA
CWI,Clinton,IA,USA
CWV,Claxton,GA,USA
CXC,Chitina,AK,USA
CXE,Chase City,VA,USA
CXF,Coldfoot,AK,USA
CXL,Calexico,CA,USA
CXO,Conroe,TX,USA
CXP,Carson City,NV,USA
CXU,Camilla,GA,USA
CXY,Harrisburg,PA,USA
CYO,Circleville,OH,USA
CYS,Cheyenne,WY,USA
CYW,Clay Center,KS,USA
CZD,Cozad,NE,USA
CZG,Endicott,NY,USA
CZL,Calhoun,GA,USA
CZN,Chisana,AK,USA
CZT,Carrizo Springs,TX,USA
D04,Bowman,ND,USA
D05,Garrison,ND,USA
D07,Faith,SD,USA
D09,Bottineau,ND,USA
D19,Luverne,MN,USA
D22,Angola,NY,USA
D25,Manitowish Waters,WI,USA
D38,Canandaiga,NY,USA
D42,Springfield,MN,USA
D50,Crosby,ND,USA
D55,Langdon,ND,USA
D57,Glen Ullin,ND,USA
D60,Tioga,ND,USA
D73,Monroe,GA,USA
D77,Lancaster,NY,USA
D87,Harbor Springs,MI,USA
D95,Lapeer,MI,USA
D98,Romeo,MI,USA
DAB,Daytona Beach,FL,USA
DAG,Daggett,CA,USA
DAL,Dallas,TX,USA
DAN,Danville,VA,USA
DAW,Rochester,NH,USA
DAY,Dayton,OH,USA
DBN,Dublin,GA,USA
DBQ,Dubuque,IA,USA
DCA,Arlington,VA,USA
DCK,Dahl Creek,AK,USA
DCU,Decatur,AL,USA
DCY,Washington,IN,USA
DDC,Dodge City,KS,USA
DDH,Bennington,VT,USA
DEC,Decatur,IL,USA
DED,Deland,FL,USA
DEE,Deering,AK,USA
DEH,Decorah,IA,USA
DEN,Denver,CO,USA
DEQ,De Queen,AR,USA
DET,Detroit,MI,USA
DEW,Deer Park,WA,USA
DFI,Defiance,OH,USA
DFW,Dallas-Fort Worth,TX,USA
DGW,Douglas,WY,USA
DHN,Dothan,AL,USA
DHT,Dalhart,TX,USA
DIK,Dickinson,ND,USA
DKB,Dekalb,IL,USA
DKK,Dunkirk,NY,USA
DKX,Knoxville,TN,USA
DLG,Dillingham,AK,USA
DLH,Duluth,MN,USA
DLL,Baraboo,WI,USA
DLN,Dillon,MT,USA
DLO,Delano,CA,USA
DLS,The Dalles,OR,USA
DLZ,Delaware,OH,USA
DM2,Diomede,AK,USA
DMN,Deming,NM,USA
DMO,Sedalia,MO,USA
DMW,Westminster,MD,USA
DNL,Augusta,GA,USA
DNN,Dalton,GA,USA
DNS,Denison,IA,USA
DNV,Danville,IL,USA
DOV,Dover,DE,USA
DPA,Chicago/West Chicago,IL,USA
DPL,Kenansville,NC,USA
DQH,Douglas,GA,USA
DRI,De Ridder,LA,USA
DRO,Durango,CO,USA
DRT,Del Rio,TX,USA
DSM,Des Moines,IA,USA
DSV,Dansville,NY,USA
DTA,Delta,UT,USA
DTL,Detroit Lakes,MN,USA
DTN,Shreveport,LA,USA
DTO,Denton,TX,USA
DTS,Destin,FL,USA
DTW,Detroit,MI,USA
DUA,Durant,OK,USA
DUC,Duncan,OK,USA
DUG,Douglas Bisbee,AZ,USA
DUJ,Du Bois,PA,USA
DUT,Unalaska,AK,USA
DUX,Dumas,TX,USA
DUY,Kongiganak,AK,USA
DVK,Danville,KY,USA
DVL,Devils Lake,ND,USA
DVN,Davenport,IA,USA
DVO,Novato,CA,USA
DVT,Phoenix,AZ,USA
DWH,Houston,TX,USA
DWU,Ashland,KY,USA
DXE,Dexter,MO,USA
DXR,Danbury,CT,USA
DXX,Madison,MN,USA
DYB,Summerville,SC,USA
DYL,Doylestown,PA,USA
DYR,Dyersburg,TN,USA
DYT,Duluth,MN,USA
E01,Monahans,TX,USA
E04,Eunice,NM,USA
E05,Hatch,NM,USA
E06,Lovington,NM,USA
E07,Tatum,NM,USA
E11,Andrews,TX,USA
E15,Graham,TX,USA
E19,Gruver,TX,USA
E24,Whiteriver,AZ,USA
E25,Wickenburg,AZ,USA
E26,Jal,NM,USA
E35,Fabens,TX,USA
E38,Alpine,TX,USA
E42,Spearman,TX,USA
E51,Bagdad,AZ,USA
E52,Vega,TX,USA
E60,Eloy,AZ,USA
E63,Gila Bend,AZ,USA
E80,Belen,NM,USA
E89,Conchas Dam,NM,USA
E91,Chinle,AZ,USA
E94,Glenwood,NM,USA
E95,Benson,AZ,USA
EAA,Eagle,AK,USA
EAN,Wheatland,WY,USA
EAR,Kearney,NE,USA
EAT,Wenatchee,WA,USA
EAU,Eau Claire,WI,USA
EBS,Webster City,IA,USA
ECG,Elizabeth City,NC,USA
ECS,Newcastle,WY,USA
EDE,Edenton,NC,USA
EDN,Enterprise,AL,USA
EED,Needles,CA,USA
EEK,Eek,AK,USA
EEN,Keene,NH,USA
EEO,Meeker,CO,USA
EET,Alabaster,AL,USA
EFC,Belle Fourche,SD,USA
EFD,Houston,TX,USA
EFK,Newport,VT,USA
EFT,Monroe,WI,USA
EFW,Jefferson,IA,USA
EGE,Eagle,CO,USA
EGQ,Emmetsburg,IA,USA
EGT,Wellington,KS,USA
EGV,Eagle River,WI,USA
EHA,Elkhart,KS,USA
EHO,Shelby,NC,USA
EHR,Henderson,KY,USA
EII,Egegik,AK,USA
EIW,New Madrid,MO,USA
EKA,Eureka,CA,USA
EKM,Elkhart,IN,USA
EKN,Elkins,WV,USA
EKO,Elko,NV,USA
EKQ,Monticello,KY,USA
EKX,Elizabethtown,KY,USA
EKY,Bessemer,AL,USA
ELA,Eagle Lake,TX,USA
ELD,El Dorado,AR,USA
ELI,Elim,AK,USA
ELK,Elk City,OK,USA
ELM,Elmira,NY,USA
ELN,Ellensburg,WA,USA
ELO,Ely,MN,USA
ELP,El Paso,TX,USA
ELV,Elfin Cove,AK,USA
ELY,Ely,NV,USA
ELZ,Wellsville,NY,USA
EMM,Kemmerer,WY,USA
EMP,Emporia,KS,USA
EMT,El Monte,CA,USA
EMV,Emporia,VA,USA
ENA,Kenai,AK,USA
ENL,Centralia,IL,USA
ENM,Emmonak,AK,USA
ENN,Nenana,AK,USA
ENV,Wendover,UT,USA
ENW,Kenosha,WI,USA
EOK,Keokuk,IA,USA
EOS,Neosho,MO,USA
EPH,Ephrata,WA,USA
EPM,Eastport,ME,USA
EQA,El Dorado,KS,USA
EQY,Monroe,NC,USA
ERI,Erie,PA,USA
ERV,Kerrville,TX,USA
ERY,Newberry,MI,USA
ESC,Escanaba,MI,USA
ESF,Alexandria,LA,USA
ESN,Easton,MD,USA
EST,Estherville,IA,USA
ETB,West Bend,WI,USA
ETC,Tarboro,NC,USA
ETH,Wheaton,MN,USA
ETN,Eastland,TX,USA
EUF,Eufaula,AL,USA
EUG,Eugene,OR,USA
EUL,Caldwell (Boise),ID,USA
EVB,New Smyrna Beach,FL,USA
EVM,Eveleth,MN,USA
EVU,Maryville,MO,USA
EVV,Evansville,IN,USA
EVW,Evanston,WY,USA
EVY,Middletown,DE,USA
EWB,New Bedford,MA,USA
EWK,Newton,KS,USA
EWN,New Bern,NC,USA
EWR,Newark,NJ,USA
EWU,Newtok,AK,USA
EXI,Excursion Inlet,AK,USA
EXX,Lexington,NC,USA
EYE,Indianapolis,IN,USA
EYW,Key West,FL,USA
EZI,Kewanee,IL,USA
EZM,Eastman,GA,USA
EZZ,Cameron,MO,USA
F00,Bonham,TX,USA
F01,Quanah,TX,USA
F05,Vernon,TX,USA
F06,Wellington,TX,USA
F08,Eufaula,OK,USA
F10,Henryetta,OK,USA
F12,Henderson,TX,USA
F17,Center,TX,USA
F18,Cleburne,TX,USA
F21,Memphis,TX,USA
F22,Perry,OK,USA
F24,Minden,LA,USA
F28,El Reno,OK,USA
F29,Oklahoma City,OK,USA
F30,Sulphur,OK,USA
F31,Kingston,OK,USA
F32,Healdton,OK,USA
F36,Cordell,OK,USA
F37,Wauchula,FL,USA
F39,Sherman/Denison,TX,USA
F41,Ennis,TX,USA
F44,Athens,TX,USA
F45,West Palm Beach,FL,USA
F46,Rockwall,TX,USA
F49,Slaton,TX,USA
F51,Winnsboro,TX,USA
F53,Mount Vernon,TX,USA
F55,Granbury,TX,USA
F56,Stamford,TX,USA
F70,Murieta/Temecula,CA,USA
F80,Atoka,OK,USA
F81,Okemah,OK,USA
F84,Stigler,OK,USA
F85,Morton,TX,USA
F87,Farmerville,LA,USA
F88,Jonesboro,LA,USA
F89,Winnsboro,LA,USA
F91,Weatherford,OK,USA
F99,Holdenville,OK,USA
FAI,Fairbanks,AK,USA
FAM,Farmington,MO,USA
FAQ,Fitiuta Village,AS,USA
FAR,Fargo,ND,USA
FAT,Fresno,CA,USA
FAY,Fayetteville,NC,USA
FBL,Faribault,MN,USA
FBR,Fort Bridger,WY,USA
FBY,Fairbury,NE,USA
FCA,Kalispell,MT,USA
FCH,Fresno,CA,USA
FCI,Richmond,VA,USA
FCM,Minneapolis,MN,USA
FCY,Forrest City,AR,USA
FDK,Frederick,MD,USA
FDR,Frederick,OK,USA
FDW,Winnsboro,SC,USA
FDY,Findlay,OH,USA
FEP,Freeport,IL,USA
FET,Fremont,NE,USA
FFA,Kill Devil Hills,NC,USA
FFC,Atlanta,GA,USA
FFL,Fairfield,IA,USA
FFM,Fergus Falls,MN,USA
FFT,Frankfort,KY,USA
FFZ,Mesa,AZ,USA
FGX,Flemingsburg,KY,USA
FHR,Friday Harbor,WA,USA
FHU,Fort Huachuca-Sierra Vista,AZ,USA
FIG,Clearfield,PA,USA
FIT,Fitchburg,MA,USA
FKL,Franklin,PA,USA
FKN,Franklin,VA,USA
FKR,Frankfort,IN,USA
FLD,Fond Du Lac,WI,USA
FLG,Flagstaff,AZ,USA
FLL,Ft. Lauderdale,FL,USA
FLO,Florence,SC,USA
FLP,Flippin,AR,USA
FLT,Flat,AK,USA
FLX,Fallon,NV,USA
FME,Odenton,MD,USA
FMN,Farmington,NM,USA
FMY,Ft. Myers,FL,USA
FMZ,Fairmont,NE,USA
FNB,Falls City,NE,USA
FNL,Fort Collins/Loveland,CO,USA
FNR,Funter Bay,AK,USA
FNT,Flint,MI,USA
FOA,Flora,IL,USA
FOD,Fort Dodge,IA,USA
FOE,Topeka,KS,USA
FOK,Westhampton Beach,NY,USA
FOT,Fortuna,CA,USA
FPR,Ft. Pierce,FL,USA
FQD,Rutherfordton,NC,USA
FRG,Farmingdale,NY,USA
FRH,French Lick,IN,USA
FRM,Fairmont,MN,USA
FRR,Front Royal,VA,USA
FSD,Sioux Falls,SD,USA
FSE,Fosston,MN,USA
FSK,Fort Scott,KS,USA
FSM,Fort Smith,AR,USA
FSO,Highgate,VT,USA
FST,Fort Stockton,TX,USA
FSU,Fort Sumner,NM,USA
FSW,Fort Madison,IA,USA
FTG,Denver,CO,USA
FTT,Fulton,MO,USA
FTW,Fort Worth,TX,USA
FTY,Atlanta,GA,USA
FUL,Fullerton,CA,USA
FVE,Frenchville,ME,USA
FVX,Farmville,VA,USA
FWA,Fort Wayne,IN,USA
FWC,Fairfield,IL,USA
FWN,Sussex,NJ,USA
FWS,Fort Worth,TX,USA
FXE,Ft. Lauderdale,FL,USA
FXY,Forest City,IA,USA
FYE,Somerville,TN,USA
FYM,Fayetteville,TN,USA
FYU,Fort Yukon,AK,USA
FYV,Fayetteville,AR,USA
FZG,Fitzgerald,GA,USA
FZI,Fostoria,OH,USA
FZY,Fulton,NY,USA
GAB,Gabbs,NV,USA
GAD,Gadsden,AL,USA
GAF,Grafton,ND,USA
GAG,Gage,OK,USA
GAI,Gaithersburg,MD,USA
GAL,Galena,AK,USA
GAM,Gambell,AK,USA
GAS,Gallipolis,OH,USA
GBD,Great Bend,KS,USA
GBG,Galesburg,IL,USA
GBH,Galbraith Lake,AK,USA
GBR,Great Barrington,MA,USA
GCC,Gillette,WY,USA
GCK,Garden City,KS,USA
GCM,Claremore,OK,USA
GCN,Grand Canyon,AZ,USA
GCT,Guthrie Center,IA,USA
GCY,Greeneville,TN,USA
GDM,Gardner,MA,USA
GDV,Glendive,MT,USA
GDW,Gladwin,MI,USA
GDY,Grundy,VA,USA
GED,Georgetown,DE,USA
GEG,Spokane,WA,USA
GEO,Georgetown,OH,USA
GEU,Glendale,AZ,USA
GEY,Greybull,WY,USA
GEZ,Shelbyville,IN,USA
GFK,Grand Forks,ND,USA
GFL,Glens Falls,NY,USA
GFZ,Greenfield,IA,USA
GGE,Georgetown,SC,USA
GGF,Grant,NE,USA
GGG,Longview,TX,USA
GGI,Grinnell,IA,USA
GGP,Logansport,IN,USA
GGW,Glasgow,MT,USA
GHM,Centerville,TN,USA
GHW,Glenwood,MN,USA
GIF,Winter Haven,FL,USA
GJT,Grand Junction,CO,USA
GKJ,Meadville,PA,USA
GKN,Gulkana,AK,USA
GKT,Sevierville,TN,USA
GKY,Arlington,TX,USA
GLD,Goodland,KS,USA
GLE,Gainesville,TX,USA
GLH,Greenville,MS,USA
GLR,Gaylord,MI,USA
GLS,Galveston,TX,USA
GLW,Glasgow,KY,USA
GLY,Clinton,MO,USA
GMJ,Grove,OK,USA
GMU,Greenville,SC,USA
GNB,Granby,CO,USA
GNF,Grenada,MS,USA
GNG,Gooding,ID,USA
GNT,Grants,NM,USA
GNU,Goodnews,AK,USA
GNV,Gainesville,FL,USA
GOK,Guthrie,OK,USA
GON,Groton,CT,USA
GPH,Mosby,MO,USA
GPM,Grand Prairie,TX,USA
GPT,Gulfport-Biloxi,MS,USA
GPZ,Grand Rapids,MN,USA
GQQ,Galion,OH,USA
GRB,Green Bay,WI,USA
GRD,Greenwood,SC,USA
GRE,Greenville,IL,USA
GRI,Grand Island,NE,USA
GRK,Killeen,TX,USA
GRN,Gordon,NE,USA
GRO,Rota Island,CQ,USA
GRR,Grand Rapids,MI,USA
GSH,Goshen,IN,USA
GSN,Obyan,CQ,USA
GSO,Greensboro,NC,USA
GSP,Greer,SC,USA
GST,Gustavus,AK,USA
GTF,Great Falls,MT,USA
GTR,Columbus-Starkville-West Point,MS,USA
GTU,Georgetown,TX,USA
GUC,Gunnison,CO,USA
GUM,Agana,GU,USA
GUP,Gallup,NM,USA
GUY,Guymon,OK,USA
GVL,Gainesville,GA,USA
GVQ,Batavia,NY,USA
GVT,Greenville,TX,USA
GWO,Greenwood,MS,USA
GWR,Gwinner,ND,USA
GWW,Goldsboro,NC,USA
GXY,Greeley,CO,USA
GYH,Greenville,SC,USA
GYR,Goodyear,AZ,USA
GYY,Gary,IN,USA
GZH,Evergreen,AL,USA
GZS,Pulaski,TN,USA
H04,Vinita,OK,USA
H05,Wilburton,OK,USA
H19,Bowling Green,MO,USA
H21,Camdenton,MO,USA
H30,Hamilton,NY,USA
H35,Clarksville,AR,USA
H41,Mexico,MO,USA
H45,Seminole,OK,USA
H66,Nowata,OK,USA
H71,Pryor,OK,USA
H79,Eldon,MO,USA
H88,Fredericktown,MO,USA
H92,Hominy,OK,USA
H96,Benton,IL,USA
H97,Pawnee,OK,USA
HAB,Hamilton,AL,USA
HAE,Hannibal,MO,USA
HAF,Half Moon Bay,CA,USA
HAI,Three Rivers,MI,USA
